-1,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0,0,0,0.01,0,0,0.02,0.02,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,0,0,0,0.01,0,0.01,0.02,0.01,0.04,0.05,0.02,0.03,0.02,0.01,0.03,0.02,0.04,0.09,0.06,0.07,0.06,0.02,0.05,0.13,0.11,0.08,0.11,0.09,0.08,0.1,0.08,0.04,-1,-1,-1,0.14
-1,0,0.03,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0.01,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03,0,0.01,-1,-1,-1,-1,-1,-1,-1,0.02,-1,-1,0.03,0.02,0.03,0.1,0.04,0.07,0,0.04,0.07,0.11,0.18,0.19,0.13,0.15,-1,-1,-1,0.15,0.07,0.11
-1,0.04,0.01,0,0.01,0.01,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.03,0.01,0.01,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,-1,-1,0.01,0,-1,-1,-1,-1,-1,-1,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05,0.16,0.13,0.17,0.11,0.13,0.22,0.13,0.11,0.1,0.09,0.12,0.1,0.12
0.04,0.02,0.01,0.02,0.01,0.02,0.03,0.01,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,-1,-1,0.03,0.03,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0.02,0,0.01,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0.01,0.01,0.02,0.02,0.01,0.03,0.04,0.04,0.02,0.02,0.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03,0.07,-1,-1,-1,0.21,-1,-1,0.17,0.16,0.22,0.14,0.11,0.11
0.06,0.01,0.04,0.03,0.01,0.02,0.03,0.02,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0,0.01,0.01,-1,-1,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,0,0.02,0.01,0.02,0,0,0,0,0,0,-1,-1,-1,-1,-1,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,0.01,0,0,0,0,0.01,0.02,0.01,0.02,0.01,0.01,0.04,0.01,0.01,0.02,0.05,0.04,0,0.01,0.07,-1,-1,-1,0.06,-1,-1,-1,0.03,0.2,0.18,0.19,-1,0.18,-1,-1,-1,-1,-1,-1,-1,-1
0.04,0.03,0.03,0.06,0.04,0.06,0.04,0,0.05,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0.02,0.03,0.02,0.01,0,0.01,-1,0,0.01,0,0.01,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.02,0,0,0,0.02,0,0.02,0,0,0,0,0.01,0,0.02,0,0.01,0,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0.01,-1,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0.02,0,-1,-1,-1,-1,-1,-1,-1,0.03,0.04,0.1,0.06,0.0900000000000001,0.08,0.05,0.13,0.09,0.14,0.12,0.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.09,0.11,0.1,0.09,0.07,0.03,0.02,0.04,0.01,0.04,0,0,0.01,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0.01,0,0,0.01,0.02,0,0,0.02,0.01,0.02,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.02,0,0,0.03,0,0,0,0,0,0.01,0.01,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0.02,0.01,0,0,0,0,-1,0.02,0,0.01,0,0.01,0.01,0,-1,-1,-1,0,0,0,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.02,0.03,0.05,0.14,0.09,0.22,0.27,0.43,-1,0.39,0.47,0.39,0.28,0.25,0.22,-1,-1,-1
0.16,0.09,0.26,0.12,0.17,0.08,0.05,0.1,0.01,0,0,0.02,0.01,0.01,0.01,0.01,0,0,0,0,-1,-1,-1,-1,-1,0.01,0.01,0.01,0,0,0.03,0.02,0,0,0.01,0.02,0.01,0.01,0,0.01,0.04,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,0,0,0.02,0,0.01,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0.03,0.01,0.01,0.02,0,0.03,0.03,0.03,0.02,0.02,0.03,-1,-1,0.11,0.04,0.14,0.07,0.13,0.17,0.09,0.2,0.29,0.38,0.47,-1,-1,0.52,0.59,0.38,0.3,0.18,0.2,-1,0.16
0.26,0.28,0.29,0.28,0.22,0.19,0.16,0.08,0.04,0.03,0.02,0.02,0.01,0,0,0.01,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0.02,0.06,0.01,0,0.02,0,0.03,0,0.01,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,0.01,0.01,0,0,0,0.01,0,0,0.02,0,0.01,0,0.01,0.01,0.01,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0.01,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,0.01,-1,-1,-1,-1,-1,-1,0.07,0.03,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.18,0.31,0.42,0.5,-1,-1,0.74,0.58,0.33,0.31,0.24,0.19,0.07,0.13
0.32,0.56,0.54,0.49,0.36,0.22,0.17,0.06,0.06,0.04,0.02,0.02,0.01,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.02,0,0,0.01,0.03,0,0,0.01,0,0.02,0.02,0.01,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.01,-1,-1,-1,0,0.01,0,0,0,0,0,0.01,0.02,0.02,0.01,0,0.01,0.01,0,0,0.01,0.02,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0.02,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.53,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.18
0.61,0.76,0.93,0.76,0.51,0.33,0.15,0.1,0.06,0.01,0.05,0.01,0,0.01,0.01,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0,0,0.03,0.01,0,0.01,0.01,0,0,0.03,0.02,0.01,0.02,0.01,0,0.03,0.02,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0,0,0,0.01,0,0,0,0,-1,-1,-1,0,0,0,0.01,0,0,-1,-1,-1,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0.01,0.01,0.01,0,0.01,0.02,0.01,-1,-1,0,0.01,0.02,0,0.01,0,0.02,0.01,0.01,0.04,0.03,0.01,0.02,-1,0.04,0.03,0.06,0.06,-1,0.1,0.19,0.18,0.2,0.34,0.29,0.47,-1,0.53,0.48,-1,-1,-1,-1,-1,-1,0.2
0.67,0.89,0.99,0.88,0.59,0.33,0.23,0.15,0.07,0.03,0,0.02,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0.01,0.01,-1,0.02,-1,-1,-1,-1,-1,-1,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,-1,-1,0.01,0,0,0.02,-1,-1,-1,0.01,-1,-1,-1,-1,0,0.01,0.01,-1,-1,-1,-1,-1,-1,0.01,0.01,0.01,0.07,0.05,0.06,0.08,0.09,0.11,0.02,0.06,0.04,0.06,0.17,0.26,0.42,0.32,-1,-1,-1,0.34,0.17,0.14,-1,0.16,0.11
0.4,0.58,0.83,0.71,0.46,0.35,0.21,0.14,0.1,0.03,0.02,0.02,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0.01,0.02,0.02,0,0.01,0,0,0.01,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0.01,-1,-1,-1,-1,-1,-1,0.01,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03,-1,-1,-1,-1,0.07,0.01,0.06,0.05,0.09,0.15,0.12,0.2,0.31,0.18,-1,0.24,-1,-1,-1,0.25,0.12,0.06
0.35,0.51,0.46,0.37,0.28,0.15,0.08,0.04,0.03,0.01,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0,0.01,0.02,-1,0.01,0.04,0.01,0,0,0,0.01,0.03,0,0.01,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0.02,0.01,0.02,0,0.01,0.03,0,0.02,0,0.02,-1,-1,-1,-1,-1,-1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.01,-1,-1,0.02,0.01,0.03,0.04,0.03,0.01,0.02,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.19,0.24,-1,0.21,0.17,0.2,0.13,0.16,0.16,-1,-1,0.08
0.24,0.23,0.19,0.17,0.16,0.06,0.07,0.03,0.05,0.02,0.03,0,0.01,0,0.01,0.03,-1,-1,-1,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0,0,0,0.01,0,0.01,0,0,0.01,0.02,0.01,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0.01,0.01,0.02,0.01,0.01,0,0.03,0.02,0,0.02,0.01,0,0,0,0,0.01,0,0.01,-1,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0.02,-1,-1,-1,-1,0.01,-1,-1,-1,-1,-1,-1,-1,-1,0.03,0.04,-1,0.03,0.01,0.02,0.07,-1,-1,-1,-1,-1,-1,0.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09,0.08
